forage_id,location,crop,block,sample_time,series_no,forage_initial_drywt_g,forage_final_drywt_g,pct_n,pct_c
391,isu,ar,4,t0,1,20.8,20.711,2.59,43.5
392,isu,ar,4,t7,2,20.6,16.042,2.97,40
393,isu,ar,4,t2,3,20.5,20.321,2.53,42.7
394,isu,ar,4,NA,4,20.5,NA,2.8,43.5
395,isu,ar,4,t9,5,21,15.972999999999997,2.91,33.8
396,isu,ar,4,t4,6,21.3,19.096,2.71,40.3
397,isu,ar,4,t3,7,20.8,19.266,2.665,42.4
398,isu,ar,4,t6,8,20.7,16.44,3.08,40.5
399,isu,ar,4,t5,9,20.8,17.943,3.03,38.5
400,isu,ar,4,t8,10,20.8,16.93,2.84,35
