location,crop,forage_id,tea_id,block,forage_bag_wt_g,forage_initial_drywt_g,staple_weight,sample_time,forage_final_drywt_g,tea_final_drywt_g,tea_initial_drywt_g,forage_pct_n,forage_pct_c,tea_pct_n,tea_pct_c,days
WIU,CR,176,182,4,2.4,19.7,0.1,t0,19.499,2.075,2.1,1.82,40.5,2.63,41.5,0
WIU,CR,177,183,4,2.4,19.7,0.1,t1,19.473,1.935,2,2.12,43.2,3.71,48.1,4
WIU,CR,178,188,4,2.4,19.7,0.1,t7,14.738,1.179,2.1,2.5,43,NA,NA,25
WIU,CR,179,189,4,2.4,19.9,0.1,t8,15.404,1.157,2.1,2.6,39.6,4.34,44.4,30
WIU,CR,180,184,4,2.4,20.4,0.1,t6,15.841000000000001,1.149,2.1,2.5,39.8,3.98,47.1,20
WIU,GPC,181,193,4,2.4,14.5,0.1,t3,13.983,1.639,2,2.58,41.2,3.77,41.5,8
WIU,GPC,182,161,4,2.4,14.7,0.1,t4,12.817,1.381,2.2000000000000002,2.95,41.3,4.25,43.7,12
WIU,GPC,183,199,4,2.4,14.899999999999999,0.1,t6,11.597,1.423,2.1,NA,NA,NA,NA,20
WIU,GPC,184,147,4,2.4,15,0.1,t1,15.210999999999999,2.215,2.2000000000000002,2.69,43.8,3.74,48,4
WIU,GPC,185,196,4,2.4,15.7,0.1,t8,10.921,1.487,2.1,3.25,36.8,3.89,37.8,30
WIU,GPC,186,561,4,2.4,15.5,0.1,t0,15.433,2.065,2.2000000000000002,2.24,44,4.123,47.93,0
WIU,GPC,187,198,4,2.4,14.899999999999999,0.1,t7,11.637,1.44,2.2000000000000002,3.17,39.9,4.82,47.4,25
WIU,GPC,188,200,4,2.4,15.399999999999999,0.1,t2,15.389,1.803,2,3.03,42,4.03,46.6,6
WIU,GPC,189,191,4,2.4,17.1,0.1,t9,13.368,NA,2,3.17,38.7,NA,NA,35
WIU,GPC,190,194,4,2.4,16.5,0.1,t5,12.431,1.742,2.2000000000000002,3.44,36.9,2.72,27.9,16
WIU,PCRO,191,125,4,2.4,17.1,0.1,t0,16.115,1.99,2.2999999999999998,4.25,44.9,2.18,41,0
WIU,PCRO,192,174,4,2.4,16.6,0.1,t8,11.812,1.43,2.1,3.28,39.3,3.27,34.5,30
WIU,PCRO,193,171,4,2.4,16.7,0.1,t4,14.100999999999999,1.542,2,2.95,43.8,3.83,42.8,12
WIU,PCRO,194,180,4,2.4,16.9,0.1,t6,12.351,1.546,x,3.15,35.2,3.59,37.1,20
WIU,PCRO,195,173,4,2.4,16.9,0.1,t1,17.177,2.003,2,2.37,42.1,3.67,45,4
WIU,PCRO,196,172,4,2.4,16.7,0.1,t9,11.707,1.463,2,NA,NA,3.96,38.4,35
WIU,PCRO,197,94,4,2.4,16.9,0.1,t7,14.268,1.793,2.5,2.61,31.1,3.74,33.4,25
WIU,PCRO,198,178,4,2.4,17.1,0.1,t3,15.703,1.734,2.1,2.55,37.8,2.97,37.6,8
WIU,PCRO,199,NA,4,2.4,16.8,0.1,t5,13.421,1.396,NA,2.84,38.5,NA,NA,16
WIU,PCRO,200,61,4,2.4,17.4,0.1,t2,16.859,2.067,2.2000000000000002,2.74,41.4,3.78,46.5,6
ISU,AR,201,209,1,2.3,21.700000000000003,0.1,t6,15.223,1.217,2.1,NA,NA,5.68,46.9,20
ISU,AR,202,204,1,2.3,18,0.1,t3,18.228,1.576,2.1,2.84,43.3,3.97,47.2,8
ISU,AR,203,207,1,2.3,22,0.1,t0,21.92,2.104,2.1,3.11,43.4,3.78,48.6,0
ISU,AR,204,201,1,2.3,21.900000000000002,0.1,t7,15.796999999999999,1.162,2.1,2.85,41.8,3.6,42.9,25
ISU,AR,207,202,1,2.3,18.900000000000002,0.1,t2,18.771,2.009,2.1,NA,NA,NA,NA,6
ISU,AR,208,206,1,2.3,22,0.1,t8,15.01,1.209,2.1,3.6,41.6,5.2,49.7,30
ISU,AR,209,219,1,2.3,20.5,0.1,t5,17.617,1.38,2.1,3.2,41.7,4.4,49.5,16
ISU,AR,210,203,1,2.3,18.400000000000002,0.1,t1,18.404,2.008,2.2000000000000002,2.74,43.1,3.75,48.5,4
ISU,GPC,211,218,1,2.4,12.9,0.1,t0,12.776,1.994,2.1,2.24,44,4.123,47.93,0
ISU,GPC,212,215,1,2.4,16.3,0.1,t9,12.889,1.16,2.1,2.2,43.1,4.67,44.8,35
ISU,GPC,213,214,1,2.4,12.6,0.1,t5,11.665,1.442,2.1,NA,NA,NA,NA,16
ISU,GPC,214,211,1,2.4,12.7,0.1,t8,11.602,1.626,2.1,NA,NA,NA,NA,30
ISU,GPC,215,213,1,2.4,16.8,0.1,t1,16.732,2.042,2.1,2.21,45.1,3.88,49,4
ISU,GPC,216,212,1,2.4,19.5,0.1,t2,19.154,1.91,2.1,2.07,44.6,3.84,48.6,6
ISU,GPC,217,216,1,2.4,15.600000000000001,0.1,t7,16.974,1.206,2.2000000000000002,1.11,34.2,5.14,46,25
ISU,GPC,218,217,1,2.4,20,0.1,t3,18.672,1.498,2.1,2.12,52.9,4.19,48.3,8
ISU,GPC,219,220,1,2.4,19.6,0.1,t6,16.412,1.238,2.1,3.38,38.5,NA,NA,20
ISU,GPC,220,NA,1,2.4,14.3,0.1,t4,14.017,1.571,NA,NA,NA,NA,NA,12
ISU,WPC,221,227,1,2.4,11.8,0.1,t2,10.13,2.037,2.1,2.05,34.3,NA,NA,6
ISU,WPC,222,225,1,2.4,8,0.1,t4,6.8870000000000005,1.571,2.1,3.02,40.9,3.63,38.2,12
ISU,WPC,223,222,1,2.4,8.1,0.1,t6,7.304,1.465,2.1,3.02,34.5,3.67,36.6,20
ISU,WPC,224,506,1,2.4,13.1,0.1,t0,12.995,1.976,2,2.61,42.2,3.82,49.1,0
ISU,WPC,225,507,1,2.4,10.3,0.1,t7,6.811,1.781,2.1,3.09,34.4,2.75,24.6,25
ISU,WPC,226,NA,1,2.4,7.800000000000001,0.1,t5,10.203,NA,NA,3.24,40.9,NA,NA,16
